Country,Year,Consumption,Inflation,GDP_per_capita,Unemployment_rate,ExchangeRate,GrossSaving
Malaysia,2018,7.97993747640615,0.884709160571235,10610.1950240479,3.3,4.03513013706806,26.1283247399226
Philippines,2018,5.7652163744645,5.30934661627707,3410.93647976109,2.338,52.6614299539683,33.8070507208738
Thailand,2018,4.57410995654203,1.06389754183024,6314.19948412043,0.765,32.3102257431458,31.6865849444729
United States,2018,2.74102213053115,2.44258329692817,59526.665698712,3.896,1.0,19.346553899104
Australia,2019,1.6942406956825,1.61076787290379,59181.2997904131,5.143,1.43850654421382,21.9808894845608
France,2019,1.76866114149004,1.10825492288294,38705.2072940618,8.415,0.893276257067409,23.4899898451564
Malaysia,2019,7.68768167459078,0.662891865764326,10902.9834855856,3.33,4.14246973569731,24.546150625052
Philippines,2019,5.86691454561243,2.39206534422404,3575.88170922922,2.237,51.7957826517332,31.7551872075145
Thailand,2019,3.96582951964726,0.706728601314311,6434.53770518034,0.716,31.0476057805499,31.5155064013965
United States,2019,2.00176126667553,1.81221007526021,60750.9898621637,3.669,1.0,19.5741671320652
Australia,2020,-3.27407909579405,0.846905537459305,58377.7670517802,6.394,1.45308511847016,23.2325990455773
France,2020,-6.61509727537258,0.476498852725066,35709.2045925926,8.009,0.875506396987998,20.7835856396957
Malaysia,2020,-3.94478420721832,-1.1387021539305,10171.4657842762,4.54,4.20348194851884,23.8210614819294
Philippines,2020,-7.95652927693801,2.3931623931624,3198.66690008413,2.522,49.6240960026328,24.8181733606399
Thailand,2020,-0.781191628547944,-0.845937147357041,6035.18627737077,1.099,31.2936732130832,28.0429223686544
United States,2020,-2.52220233101306,1.23358439630629,59194.6665172031,8.055,1.0,18.6433841524645
Australia,2021,0.720412255051215,2.86391042204994,59465.535671364,5.022,1.33122425957081,25.1958520075371
France,2021,5.13699742026492,1.64233141038385,38030.8571685178,7.871,0.84549413889045,23.4519466335002
Malaysia,2021,1.78830923854719,2.47710241465447,10388.2667120857,4.64,4.14329759817721,26.0099609240741
Philippines,2021,4.21148693171874,3.92718022100332,3350.97587587776,3.398,49.2545977288412,20.2029188331693
Thailand,2021,0.60333771744618,1.23039541318384,6121.52696529713,1.215,31.9770934417717,27.4646826657448
United States,2021,8.40535420864819,4.69785886363742,62680.2503585805,5.349,1.0,18.0329336164215
Australia,2022,4.30100868040419,6.59409671341846,61200.4588964781,3.728,1.44166445896522,24.9259369836481
France,2022,2.29709955880612,5.22236748369735,38868.3303330557,7.303,0.949623753156941,22.4903116689235
Malaysia,2022,11.4136615295312,3.37869862549928,11191.6511756943,3.93,4.40107634540072,26.7807789507514
Philippines,2022,8.2885279450098,5.82115811213955,3577.70136573244,2.598,54.477785837205,22.4737175447068
Thailand,2022,6.17620187632839,-1.61068030486688,6278.7855138276,0.94,35.0613502144776,26.3084044839584
United States,2022,2.53183873775001,8.00279982052121,63886.1317069841,3.65,1.0,18.6927640825769
